GeneID,GSM4459880,GSM4459881,GSM4459882,GSM4459885,GSM4459886,GSM4459887
4913,8.026,7.385,11.43,9.991,8.399,8.549
7249,25.04,25.46,26.77,24.78,25.89,24.3
5310,19.74,17.44,24.52,19.53,24.06,20.14
100188847,0.2219,0,0.4724,0,0.461,0.3953
105371049,11.85,10.01,17.68,12.54,17.43,12.84
102465429,26.31,17.47,32.51,16.55,20.5,16.74
100616258,0.4644,0.2656,0.7416,0.2726,0.2412,0.6205
100500916,0,0,0.139,0.1532,0,0
25837,3.156,3.937,4.103,3.816,5.251,3.931
100507303,9.677,11.71,11.49,13.59,11.1,14.3
26788,2.646,3.303,2.561,1.695,1.75,2.357
84231,28.32,27.56,30.42,29.6,30.13,29.2
57524,12.08,11.01,17.15,13.36,17.41,13.1
64223,20.13,20.96,21.41,20.23,22.44,19.32
283870,7.495,7.777,6.887,8.958,7.626,7.557
283871,9.038,9.776,7.64,9.543,9.809,8.995
1877,15.68,14.89,16.41,15.75,16.8,15.24
1775,2.283,2.392,2.204,2.81,3.117,3.005
1632,36.11,37.53,31.04,37.63,38.99,35.9
107984839,1.002,1.396,1.166,1.176,1.171,1.283
10921,46.48,49.1,56.84,52.09,52.72,47.69
106660606,1.406,1.892,0.9683,1.699,1.417,1.547
100500812,6.989,6.472,7.086,3.516,6.915,3.854
100126328,2.124,1.701,1.131,1.496,1.545,1.703
100616241,0,0,0,0,0,0
21,20.84,22.01,24.9,22.26,21.02,20.3
650655,0.5865,0.7691,0.665,0.6885,0.7827,0.8962
899,3.536,4.12,3.835,3.774,3.649,3.97
102465459,0.3026,0,0,0.3552,0,0
105371050,2.853,3.306,2.919,2.436,3.195,3.069
80178,1.846,2.294,2.591,2.469,2.185,2.353
102465460,0,0,0.5905,0,0.2881,0.7412
729652,0.1652,0.182,0.1824,0.2298,0.1716,0.218
4917,1.132,1.702,1.691,1.554,1.801,2.138
57465,5.982,6.529,7.501,6.272,6.864,6.833
527,127.2,125.7,144.5,129,137.9,133.5
51005,5.218,5.139,5.263,5.753,6.181,5.294
752014,2.979,2.993,3.002,3.48,3.669,3.094
100422974,0.2377,0,0.2531,0.2791,0.247,0
5170,12.79,12.36,13.05,11.53,12.82,11.82
652276,3.804,4.208,4.112,3.68,3.684,3.52
645644,4.174,4.142,4.417,3.043,3.262,2.969
100507321,2.781,2.746,2.895,2.43,2.827,2.61
54442,20.71,20.48,20.76,18.83,19.95,20.21
83886,2.631,2.17,3.086,2.697,2.914,3.046
100128788,0.6555,1.083,0.6462,0.9405,0.5423,0.5947
23524,73.1,75.69,89.51,77.85,75.75,65.87
6923,131.1,129.1,150.2,135.6,133.8,144.4
260429,0.9882,2.401,1.529,10.55,4.615,9.012
360226,0.01746,0.0599,0.1115,0,0.07254,0.09329
109616997,0,0,0,0,0,0
10942,0,0,0,0,0,0
124220,0.07235,0,0,0.02831,0.02505,0.02148
124221,0,0.007709,0,0,0,0
64063,0,0,0,0,0,0.01199
101929566,0.2799,0.3448,0.3438,0.2148,0.1566,0.2301
114984,24.36,26.27,26.81,23.76,22.84,25.28
84256,12.41,11.84,13.61,11.79,13.02,11.45
105371055,0.3069,0.234,0.3509,0.2402,0.2243,0.1822
79412,15.33,14.73,12.34,8.202,11.97,9.951
124222,77.24,71.46,60.14,46.28,65.67,55.66
9088,14.32,15.42,11.86,9.98,12.97,10.15
283875,0.09299,0.0922,0.066,0.1892,0.1481,0.08836
101929613,0.2269,0.6749,0.145,0.1066,0.2829,0.2021
107984895,0.6749,0.856,0.4842,0.6717,0.3658,0.4705
105371056,0.4458,0.4742,0.3831,0.5234,0.3738,0.3275
9080,0.3027,0.303,0.282,0.3258,0.3014,0.2247
9074,0.2193,0.2341,0.2801,0.5835,0.3037,0.2344
51330,8.646,6.43,11.08,29.27,12.17,11.49
54985,20.81,20.43,27.14,23.59,25.05,20.05
79228,8.491,9.649,9.07,10.63,9.586,8.989
146439,0.1755,0.1757,0.2103,0.1803,0.1064,0.1173
100128770,0.01957,0.01493,0.06251,0.03829,0.04744,0.01743
64386,0.2679,0.3194,0.486,0.4827,0.388,0.2823
100507419,1.622,1.524,2.118,2.385,2.004,1.734
9235,0.02531,0.1013,0.1213,1.426,0.1841,0.2818
105371058,0.02141,0.01225,0.0228,0,0.03337,0.009538
84891,0.02773,0.007932,0.05167,0.02442,0.02161,0.03706
81854,3.145,3.954,4.064,3.211,3.557,2.948
7755,9.159,10.18,12.51,9.738,10.63,10.18
100507458,7.81,7.817,8.334,7.606,8.667,7.953
7760,12.29,11.93,14.95,11.92,13.34,12.12
197350,0.2919,0.3841,0.2486,0.6169,0.4549,0.3511
100189173,0,0.3129,0,0.3211,0,0
100189168,3.283,1.878,2.912,2.248,2.558,2.437
100189119,2.188,1.565,0.5825,0.9634,1.421,0.2437
